Instruction,condsFile,emotions,emotionsREP,TeclaQ2,TeclaP2,CATarget2,CAHappy2,Body,Face,Type,Stimulus,Gender,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,respNo,CAfear,Instruction_1.started,Instruction_1.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,Instructions2.started,Instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_8.started,text_8.stopped,text_7.started,text_7.stopped,text_9.started,text_9.stopped,Qtext.started,Qtext.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,ISI.started,ISI.stopped,fix_duration,start,text_12.started,text_12.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_10.started,text_10.stopped,ISI_3.started,ISI_3.stopped,text_2.started,text_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,CAanger,text_3.started,text_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,impar_incluso,date,expName,psychopyVersion,frameRate,TeclaQ,TeclaP,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_7_h-copy.png,male,0,1,1,1,0,5,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0500000000000003,1.1500000000000004,254.23673965403577,255.30429937003646,255.277357323037,255.40394893405028,q,0.5628168450202793,255.277357323037,None,255.37564759101951,None,255.37564759101951,None,0.0006157616735436022,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_9_h-copy.png,female,0,1,1,1,0,6,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9000000000000001,1.0000000000000002,255.90441682899836,256.8111927160062,256.78839776600944,256.90503643802367,q,0.9696750179864466,256.78839776600944,None,256.88720556604676,None,256.88720556604676,None,0.012725682405289263,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_10_h-copy.png,female,0,1,1,1,0,7,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.85,257.8215390720288,258.5816427890095,258.5816427890095,258.70590370503487,q,0.6554783200263046,258.5816427890095,None,258.656927078031,None,258.656927078031,None,0.01399637438589707,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Control,Anger,Control Body,CoBo_1_a-copy.png,male,0,1,1,1,0,8,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9000000000000001,1.0000000000000002,259.27599205600563,260.20597497804556,260.15622385405004,260.2753869360313,p,0.48801307496614754,260.15622385405004,None,260.2753869360313,None,260.2753869360313,None,0.006511114654131234,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Anger,Anger,Congruent,C_7_a-copy.png,male,0,1,1,1,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9500000000000002,1.0500000000000003,260.6934589060256,261.6637197060045,261.62268905102974,261.739628498035,p,0.49148116196738556,261.62268905102974,None,261.71460132300854,None,261.71460132300854,None,0.015924502396956086,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_5_h-copy.png,female,0,1,1,1,0,10,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9000000000000001,1.0000000000000002,262.1901780880289,263.11277776100906,263.0653620280209,263.1904536940274,q,0.5938646559952758,263.0653620280209,None,263.16119383403566,None,263.16119383403566,None,0.01447014935547486,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Anger,Anger,Congruent,C_3_a-copy.png,male,0,1,1,1,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2000000000000004,1.3000000000000005,263.7121231270139,264.92392487003235,264.89480962901143,265.00813719804864,p,0.7332151099690236,264.89480962901143,None,264.99000157404225,None,264.99000157404225,None,0.01622388034593314,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Anger,Happy,Incongruent,I_4_a_h-copy.png,female,0,1,1,1,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0500000000000003,1.1500000000000004,265.69139059999725,266.7468872020254,266.70731974800583,266.81336184300017,q,0.8480271740118042,266.70731974800583,None,266.79478058300447,None,266.79478058300447,None,0.0166147043928504,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Anger,Incongruent,I_5_h_a-copy.png,female,0,1,1,1,0,13,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000000000003,1.2000000000000004,267.59141268604435,268.7087046090164,268.6863166530384,268.8083128770231,p,0.6498911359813064,268.6863166530384,None,268.7795120390365,None,268.7795120390365,None,0.004774560686200857,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Control,Happy,Control Body,CoBo_10_h-copy.png,female,0,1,1,1,0,14,14,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,269.4105941960006,270.2290178060066,270.1770496420213,270.2966366360197,q,0.6189762489520945,270.1770496420213,None,270.2765159920091,None,270.2765159920091,None,0.015069507411681116,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
